Run,Generation,Ind0,Ind1,Ind2,Ind3,Ind4,Ind5,Ind6,Ind7,Ind8,Ind9,Ind10,Ind11,Ind12,Ind13,Ind14,Ind15,Ind16,Ind17,Ind18,Ind19,Ind20,Ind21,Ind22,Ind23,Ind24,Ind25,Ind26,Ind27,Ind28,Ind29,Ind30,Ind31,Ind32,Ind33,Ind34,Ind35,Ind36,Ind37,Ind38,Ind39,Ind40,Ind41,Ind42,Ind43,Ind44,Ind45,Ind46,Ind47,Ind48,Ind49
4,14,13135910,13135910,13135910,13135910,13135910,12895641,12654224,12652394,12487832,12158486,12049892,12026439,11951669,11816876,11704960,11613461,11476563,11439074,11439074,11439074,11436324,11376941,11376941,11232914,11038548,10787631,10628203,10605194,10563641,10311398,10311398,10035608,9485804,9470195,9470195,9470195,9397839,9327533,9311392,9311392,9195895,8520214,8517459,8329415,8151628,8151628,3321582,-2837374069464,-3700432366038,-12935160267938
4,15,13135910,13135910,13135910,13135910,13135910,13135910,13103623,12913205,12669653,12487832,12301497,12183623,12049892,11951669,11866354,11816876,11816876,11785729,11439074,11439074,11436324,11376941,11376941,11315724,11232914,10914076,10837941,10563641,10465111,10035494,9871101,9722921,9687528,9470195,9313343,9311392,9195895,8829574,8651082,8151628,8151628,7826638,6926578,3321582,3321582,3321582,3321582,-471381720678,-4512780183824,-10649718561417
4,16,13135910,13135910,13135910,13135910,13135910,12804070,12669653,12487832,12481656,12301497,12295190,11946249,11816876,11816876,11816876,11439074,11439074,11319472,11315724,11153398,10914076,10914076,10861088,10838522,10465111,10420083,10194967,10153785,10098236,10065917,9722921,9687528,9680030,9534059,9313343,9311392,9097040,8829574,8651082,8605702,8411854,8202744,7922168,6926578,6926578,3787839,3321582,3321582,-4512780183824,-5524010709027
4,17,13135910,13135910,13135910,13135910,13135910,12705674,12669653,12552216,12481656,12324305,12301497,12295190,12263444,12217402,11577279,10914076,10861088,10838522,10838522,10465111,10420083,10153785,10098236,10088863,10065917,10065917,9859587,9760398,9680030,9676120,9311392,9195895,9097040,8829574,8651082,8651082,8605702,8411854,8351561,8202744,7922168,7842790,7277052,6926578,4157100,3787839,3321582,2954692,-4512780183824,-6396574007967
4,18,13135910,13135910,13135910,13135910,13066244,12999580,12669653,12310316,12301497,12263444,12110774,11990896,10914076,10914076,10838522,10838522,10750102,10583962,10420083,10153785,10098236,10012928,10002906,9921220,9859587,9856807,9760398,9677187,9674283,9596421,9429181,9311392,9245627,9208026,9117339,8893323,8605702,8351561,8202744,7922168,7922168,7842790,6926578,3787839,3321582,2954692,1845221,-5566127806716,-7446455307660,-10156203598944
4,19,13135910,13135910,13135910,13135910,12669653,12301497,12026439,11990896,11988758,11482229,11458901,11304779,11216789,10838522,10838522,10620253,10583962,10420083,10153785,10153785,10098236,10012928,9937033,9921220,9921220,9760398,9677187,9677187,9596421,9593505,9429181,9245627,9245627,9169127,9097040,8851593,8772794,8747762,8351561,8351561,7922168,7842790,7814412,7612318,6767776,5743837,3321582,1845221,-7160984705028,-12913906781517
4,20,13135910,13135910,13135910,12553563,12301497,12026439,11941006,11217170,11216789,11203074,10922255,10847528,10838522,10838522,10633307,10620253,10583962,10402451,10384898,10153785,10153785,10098236,9921220,9921220,9760398,9593505,9438677,9302370,9245627,9245627,9245627,9169127,8990051,8772794,8747762,8747762,8747762,8281505,8199217,7922168,7842790,7814412,7612318,7560287,7469179,5743837,3321582,1845221,-4607508952300,-15904449307548
5,0,12853036,12745632,12648394,12198277,12090383,11918402,11912066,11858628,11838270,11226408,11196117,11125914,10978235,10833478,10609063,10504870,10285590,10165127,10000246,9993851,9983385,9662418,9455329,9219573,8971841,8619919,8433392,8425675,8315335,8086705,-809037207750,-1581970007688,-1657753509384,-1906501909635,-2816082440901,-2834058792312,-4053865844756,-7549388142102,-11226480635160,-13734524776680,-13780690792890,-15188701611190,-16186144592912,-23174166587860,-26227964620110,-28190014410608,-29903782378336,-36137202785192,-39024295272468,-50991118805228
5,1,12853036,12745632,12648394,12526384,12456792,12198277,12198277,12110776,11912066,11912066,11912066,11858628,11829519,11469009,11226408,11125914,11125914,10978235,10427069,10165127,9927880,9549780,9455329,9455329,9152586,8971841,8767780,8619919,8425675,8335090,8315335,7895307,7508334,7479577,-809037207750,-921609071032,-1581970007688,-1906501909635,-2816082440901,-3224415657658,-3700628417256,-11934230715759,-13780690792890,-15188701611190,-16186144592912,-21784222085192,-28190014410608,-28927744431390,-29903782378336,-43912567854309
5,2,12853036,12745632,12734366,12526384,12526384,12435871,12278821,11829519,11829519,11738058,11567422,11369152,11226408,11226408,10978235,10823075,10427069,10268057,9927880,9927880,9565474,9549780,9524995,9511028,9152586,9110207,8767780,8619919,8601674,8425675,8354459,8335090,8315335,7895307,7779412,7757266,7508334,7479577,-1726296383370,-1906501909635,-2338162339306,-2816082440901,-7720344606400,-8505688993269,-8897022115880,-14799421304124,-16650086608764,-18215848463186,-28927744431390,-28927744431390
