evaporationRates,maxIteration,alpha,beta,Q,epsilon,method,AverageFitness
0.1000,100,1.0000,2.0000,100.0000,10.0000,3,291.2000
0.1000,100,1.0000,5.0000,10.0000,3.0000,1,291.0000
0.1000,100,1.0000,5.0000,10.0000,3.0000,2,291.0000
0.1000,100,1.0000,5.0000,10.0000,3.0000,3,291.0000
0.1000,100,1.0000,5.0000,10.0000,5.0000,1,291.0000
0.1000,100,1.0000,5.0000,10.0000,5.0000,2,291.0000
0.1000,100,1.0000,5.0000,10.0000,5.0000,3,291.0000
0.1000,100,1.0000,5.0000,10.0000,10.0000,1,291.0000
0.1000,100,1.0000,5.0000,10.0000,10.0000,2,291.0000
0.1000,100,1.0000,5.0000,10.0000,10.0000,3,291.0000
0.1000,100,1.0000,5.0000,100.0000,3.0000,1,291.0000
0.1000,100,1.0000,5.0000,100.0000,3.0000,2,291.0000
0.1000,100,1.0000,5.0000,100.0000,3.0000,3,291.0000
0.1000,100,1.0000,5.0000,100.0000,5.0000,1,291.0000
0.1000,100,1.0000,5.0000,100.0000,5.0000,2,291.0000
0.1000,100,1.0000,5.0000,100.0000,5.0000,3,291.0000
0.1000,100,1.0000,5.0000,100.0000,10.0000,1,291.0000
0.1000,100,1.0000,5.0000,100.0000,10.0000,2,291.0000
0.1000,100,1.0000,5.0000,100.0000,10.0000,3,291.0000
0.1000,100,2.5000,1.0000,10.0000,3.0000,1,314.2000
0.1000,100,2.5000,1.0000,10.0000,3.0000,2,309.8000
0.1000,100,2.5000,1.0000,10.0000,3.0000,3,300.6500
0.1000,100,2.5000,1.0000,10.0000,5.0000,1,303.4000
0.1000,100,2.5000,1.0000,10.0000,5.0000,2,340.1000
0.1000,100,2.5000,1.0000,10.0000,5.0000,3,298.6500
0.1000,100,2.5000,1.0000,10.0000,10.0000,1,302.9500
0.1000,100,2.5000,1.0000,10.0000,10.0000,2,364.2500
0.1000,100,2.5000,1.0000,10.0000,10.0000,3,302.4500
0.1000,100,2.5000,1.0000,100.0000,3.0000,1,351.0000
0.1000,100,2.5000,1.0000,100.0000,3.0000,2,356.7500
0.1000,100,2.5000,1.0000,100.0000,3.0000,3,365.7500
0.1000,100,2.5000,1.0000,100.0000,5.0000,1,332.8000
0.1000,100,2.5000,1.0000,100.0000,5.0000,2,365.0000
0.1000,100,2.5000,1.0000,100.0000,5.0000,3,370.3500
0.1000,100,2.5000,1.0000,100.0000,10.0000,1,338.7000
0.1000,100,2.5000,1.0000,100.0000,10.0000,2,404.5000
0.1000,100,2.5000,1.0000,100.0000,10.0000,3,352.9000
0.1000,100,2.5000,2.0000,10.0000,3.0000,1,293.6000
0.1000,100,2.5000,2.0000,10.0000,3.0000,2,293.4000
0.1000,100,2.5000,2.0000,10.0000,3.0000,3,293.2000
0.1000,100,2.5000,2.0000,10.0000,5.0000,1,292.6000
0.1000,100,2.5000,2.0000,10.0000,5.0000,2,302.2500
0.1000,100,2.5000,2.0000,10.0000,5.0000,3,293.9000
0.1000,100,2.5000,2.0000,10.0000,10.0000,1,293.4000
0.1000,100,2.5000,2.0000,10.0000,10.0000,2,307.9500
0.1000,100,2.5000,2.0000,10.0000,10.0000,3,293.9000
0.1000,100,2.5000,2.0000,100.0000,3.0000,1,299.2000
0.1000,100,2.5000,2.0000,100.0000,3.0000,2,311.8000
0.1000,100,2.5000,2.0000,100.0000,3.0000,3,330.9000
0.1000,100,2.5000,2.0000,100.0000,5.0000,1,302.1000
0.1000,100,2.5000,2.0000,100.0000,5.0000,2,318.9500
0.1000,100,2.5000,2.0000,100.0000,5.0000,3,325.7500
0.1000,100,2.5000,2.0000,100.0000,10.0000,1,296.6000
0.1000,100,2.5000,2.0000,100.0000,10.0000,2,332.2000
0.1000,100,2.5000,2.0000,100.0000,10.0000,3,319.0500
0.1000,100,2.5000,5.0000,10.0000,3.0000,1,291.0000
0.1000,100,2.5000,5.0000,10.0000,3.0000,2,291.0000
0.1000,100,2.5000,5.0000,10.0000,3.0000,3,291.0000
0.1000,100,2.5000,5.0000,10.0000,5.0000,1,291.0000
0.1000,100,2.5000,5.0000,10.0000,5.0000,2,291.4000
0.1000,100,2.5000,5.0000,10.0000,5.0000,3,291.0000
0.1000,100,2.5000,5.0000,10.0000,10.0000,1,291.0000
0.1000,100,2.5000,5.0000,10.0000,10.0000,2,291.6000
0.1000,100,2.5000,5.0000,10.0000,10.0000,3,291.0000
0.1000,100,2.5000,5.0000,100.0000,3.0000,1,291.2000
0.1000,100,2.5000,5.0000,100.0000,3.0000,2,291.8000
0.1000,100,2.5000,5.0000,100.0000,3.0000,3,294.2000
0.1000,100,2.5000,5.0000,100.0000,5.0000,1,291.0000
0.1000,100,2.5000,5.0000,100.0000,5.0000,2,291.4000
0.1000,100,2.5000,5.0000,100.0000,5.0000,3,295.8000
